exercise_id,exercise_name,roles,file,relative_path,width,height,mode,status,reason,score,source_sha256
standing_oblique,Boční zkracovačky ve stoji,END,standing_oblique_crunch_end.png,Pilates Assets/02_Exercise_Cards/Standing Oblique Crunch/standing_oblique_crunch_end.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.8402,9e37cca0f98367c64c9006cf4d8caf1188deef58704e062d3b53cccb52e462ba
chest_press,Tlaky s činkami vleže,HERO,chest_press_hero.png,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.8342,c5a2ea5ad7eb82af066207a763aee9739902de8c9da796e0c1919ee51062f300
rainbow,Rainbow Leg Raise,START,rainbow_leg_raise_start.png,Pilates Assets/02_Exercise_Cards/Rainbow Leg Raise/rainbow_leg_raise_start.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.8193,0f288a33b333138245aaa0f8e0eab655400dd2c3d5f1e1b6cb120a2340aae2b6
supine_twist,Rotace páteře vleže,HERO,supine_twist_hero.png,Pilates Assets/02_Exercise_Cards/Supine Twist/supine_twist_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.8055,6b914d36fb491edd60f92a36c8ddf516f1ad5a4020d9cd3fe679ebe4c94019a2
triceps_kickback,Triceps Kickback,START/END,triceps_kickback_start.png,Pilates Assets/02_Exercise_Cards/Triceps Kickback/triceps_kickback_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.7867,f8c7b168369e9918f8cd5a64bf48932f0614551702424643dd3143f06052c4ab
press,Tlaky s činkami nad hlavu,HERO,shoulder_press_hero.png,Pilates Assets/02_Exercise_Cards/Shoulder Press/shoulder_press_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.7765,b7335b1325d430068af503b0841cf9c13b0190bf8365f18224735328bdd45eb4
chest_press,Tlaky s činkami vleže,START/END,chest_press_start.png,Pilates Assets/02_Exercise_Cards/Chest Press/chest_press_start.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.7688,e38bc94b251a4c1f66c10d064638253b53309e9d1611085b3d1ffb9822f764e2
catcow,Cat-Cow,HERO,cat_cow_hero.png,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_hero.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.7383,87b6c921cef39d365e21323ce04b5f2f23f28402a6f2f261f68def8a4026621c
plie,Plié Squat,HERO,plie_squat_hero.png,Pilates Assets/02_Exercise_Cards/Plie Squat/plie_squat_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.7329,8fc0eb230223e4dbf91897f5392fb0044911f00c6bfa21583ef9013070708d36
catcow,Cat-Cow,END,cat_cow_end.png,Pilates Assets/02_Exercise_Cards/Cat-Cow/cat_cow_end.png,1536,1024,RGB,MINOR COLOR FIX,floor too cold,0.7148,d980189559e7342dcb9c23b3687a881ef3f9b99cce9ca1205018b658ca015756
russian,Rotace trupu v sedu,HERO,russian_twist_hero.png,Pilates Assets/02_Exercise_Cards/Russian Twist/russian_twist_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold; floor too cold,0.7102,d7c282785b5a6144bab43119ff2c83f9544ab57d60f905b44c04671b4ed9713b
figure_four,Protažení hýždí vleže,HERO,figure_four_stretch_hero.png,Pilates Assets/02_Exercise_Cards/Figure Four Stretch/figure_four_stretch_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.6961,4e36af09594982da2096ac31a68e3e86dee161b5abc750f7bad6a833830c4dce
sidekick,Side Kick,HERO,side_kick_hero.png,Pilates Assets/02_Exercise_Cards/Side Kick/side_kick_hero.png,1536,1024,RGB,MINOR COLOR FIX,wall too blue/cold,0.6823,8d26f2be9cfff260b35a62412a795f87fa47ab4da6e64c4370825a7ecab59d44
